time,value,flags,version,timeseries_id
2023-12-01 00:00:00+00:00,16.852,1,000001.000001.00000000000000,19956
2023-12-01 01:00:00+00:00,11.183,1,000001.000001.00000000000000,19956
2023-12-01 02:00:00+00:00,24.066,1,000001.000001.00000000000000,19956
2023-12-01 03:00:00+00:00,18.973,1,000001.000001.00000000000000,19956
2023-12-01 04:00:00+00:00,15.866,1,000001.000001.00000000000000,19956
2023-12-01 05:00:00+00:00,16.989,1,000001.000001.00000000000000,19956
2023-12-01 06:00:00+00:00,8.907,1,000001.000001.00000000000000,19956
2023-12-01 07:00:00+00:00,8.517,1,000001.000001.00000000000000,19956
2023-12-01 08:00:00+00:00,4.838,1,000001.000001.00000000000000,19956
2023-12-01 09:00:00+00:00,5.208,1,000001.000001.00000000000000,19956
2023-12-01 10:00:00+00:00,7.895,1,000001.000001.00000000000000,19956
2023-12-01 11:00:00+00:00,7.155,1,000001.000001.00000000000000,19956
2023-12-01 12:00:00+00:00,4.98,1,000001.000001.00000000000000,19956
2023-12-01 13:00:00+00:00,4.52,1,000001.000001.00000000000000,19956
2023-12-01 14:00:00+00:00,9.15,1,000001.000001.00000000000000,19956
2023-12-01 15:00:00+00:00,11.193,1,000001.000001.00000000000000,19956
2023-12-01 16:00:00+00:00,9.864,1,000001.000001.00000000000000,19956
2023-12-01 17:00:00+00:00,13.997,1,000001.000001.00000000000000,19956
2023-12-01 18:00:00+00:00,11.676,1,000001.000001.00000000000000,19956
2023-12-01 19:00:00+00:00,8.18,1,000001.000001.00000000000000,19956
2023-12-01 20:00:00+00:00,7.574,1,000001.000001.00000000000000,19956
2023-12-01 21:00:00+00:00,5.846,1,000001.000001.00000000000000,19956
2023-12-01 22:00:00+00:00,12.568,1,000001.000001.00000000000000,19956
2023-12-01 23:00:00+00:00,10.658,1,000001.000001.00000000000000,19956
