time,value,flags,version,timeseries_id
2023-12-06 00:00:00+00:00,5.97,1,000001.000001.00000000000000,19956
2023-12-06 01:00:00+00:00,10.468,1,000001.000001.00000000000000,19956
2023-12-06 02:00:00+00:00,9.922,1,000001.000001.00000000000000,19956
2023-12-06 03:00:00+00:00,11.707,1,000001.000001.00000000000000,19956
2023-12-06 04:00:00+00:00,15.666,1,000001.000001.00000000000000,19956
2023-12-06 05:00:00+00:00,15.687,1,000001.000001.00000000000000,19956
2023-12-06 06:00:00+00:00,14.889,1,000001.000001.00000000000000,19956
2023-12-06 07:00:00+00:00,10.43,1,000001.000001.00000000000000,19956
2023-12-06 08:00:00+00:00,13.64,1,000001.000001.00000000000000,19956
2023-12-06 09:00:00+00:00,17.252,1,000001.000001.00000000000000,19956
2023-12-06 10:00:00+00:00,17.923,1,000001.000001.00000000000000,19956
2023-12-06 11:00:00+00:00,12.842,1,000001.000001.00000000000000,19956
2023-12-06 12:00:00+00:00,9.645,1,000001.000001.00000000000000,19956
2023-12-06 13:00:00+00:00,11.015,1,000001.000001.00000000000000,19956
2023-12-06 14:00:00+00:00,17.346,1,000001.000001.00000000000000,19956
2023-12-06 15:00:00+00:00,11.245,1,000001.000001.00000000000000,19956
2023-12-06 16:00:00+00:00,10.563,1,000001.000001.00000000000000,19956
2023-12-06 17:00:00+00:00,10.035,1,000001.000001.00000000000000,19956
2023-12-06 18:00:00+00:00,6.051,1,000001.000001.00000000000000,19956
2023-12-06 19:00:00+00:00,8.456,1,000001.000001.00000000000000,19956
2023-12-06 20:00:00+00:00,11.329,1,000001.000001.00000000000000,19956
2023-12-06 21:00:00+00:00,13.188,1,000001.000001.00000000000000,19956
2023-12-06 22:00:00+00:00,18.721,1,000001.000001.00000000000000,19956
2023-12-06 23:00:00+00:00,17.703,1,000001.000001.00000000000000,19956
