time,value,flags,version,timeseries_id
2023-12-07 00:00:00+00:00,17.608,1,000001.000001.00000000000000,19956
2023-12-07 01:00:00+00:00,25.368,1,000001.000001.00000000000000,19956
2023-12-07 02:00:00+00:00,13.377,1,000001.000001.00000000000000,19956
2023-12-07 03:00:00+00:00,15.771,1,000001.000001.00000000000000,19956
2023-12-07 04:00:00+00:00,14.122,1,000001.000001.00000000000000,19956
2023-12-07 05:00:00+00:00,18.039,1,000001.000001.00000000000000,19956
2023-12-07 06:00:00+00:00,16.684,1,000001.000001.00000000000000,19956
2023-12-07 07:00:00+00:00,11.204,1,000001.000001.00000000000000,19956
2023-12-07 08:00:00+00:00,11.792,1,000001.000001.00000000000000,19956
2023-12-07 09:00:00+00:00,12.317,1,000001.000001.00000000000000,19956
2023-12-07 10:00:00+00:00,9.817,1,000001.000001.00000000000000,19956
2023-12-07 11:00:00+00:00,7.743,1,000001.000001.00000000000000,19956
2023-12-07 12:00:00+00:00,7.409,1,000001.000001.00000000000000,19956
2023-12-07 13:00:00+00:00,9.056,1,000001.000001.00000000000000,19956
2023-12-07 14:00:00+00:00,8.244,1,000001.000001.00000000000000,19956
2023-12-07 15:00:00+00:00,9.371,1,000001.000001.00000000000000,19956
2023-12-07 16:00:00+00:00,7.543,1,000001.000001.00000000000000,19956
2023-12-07 17:00:00+00:00,6.955,1,000001.000001.00000000000000,19956
2023-12-07 18:00:00+00:00,12.789,1,000001.000001.00000000000000,19956
2023-12-07 19:00:00+00:00,10.034,1,000001.000001.00000000000000,19956
2023-12-07 20:00:00+00:00,10.181,1,000001.000001.00000000000000,19956
2023-12-07 21:00:00+00:00,7.542,1,000001.000001.00000000000000,19956
2023-12-07 22:00:00+00:00,10.847,1,000001.000001.00000000000000,19956
2023-12-07 23:00:00+00:00,9.781,1,000001.000001.00000000000000,19956
