time,value,flags,version,timeseries_id
2023-12-04 00:00:00+00:00,9.163,1,000001.000001.00000000000000,19956
2023-12-04 01:00:00+00:00,4.391,1,000001.000001.00000000000000,19956
2023-12-04 02:00:00+00:00,7.602,1,000001.000001.00000000000000,19956
2023-12-04 03:00:00+00:00,7.506,1,000001.000001.00000000000000,19956
2023-12-04 04:00:00+00:00,4.659,1,000001.000001.00000000000000,19956
2023-12-04 05:00:00+00:00,6.807,1,000001.000001.00000000000000,19956
2023-12-04 06:00:00+00:00,8.459,1,000001.000001.00000000000000,19956
2023-12-04 07:00:00+00:00,9.671,1,000001.000001.00000000000000,19956
2023-12-04 08:00:00+00:00,6.579,1,000001.000001.00000000000000,19956
2023-12-04 09:00:00+00:00,13.345,1,000001.000001.00000000000000,19956
2023-12-04 10:00:00+00:00,10.391,1,000001.000001.00000000000000,19956
2023-12-04 11:00:00+00:00,6.636,1,000001.000001.00000000000000,19956
2023-12-04 12:00:00+00:00,11.802,1,000001.000001.00000000000000,19956
2023-12-04 13:00:00+00:00,9.407,1,000001.000001.00000000000000,19956
2023-12-04 14:00:00+00:00,7.496,1,000001.000001.00000000000000,19956
2023-12-04 15:00:00+00:00,4.986,1,000001.000001.00000000000000,19956
2023-12-04 16:00:00+00:00,4.837,1,000001.000001.00000000000000,19956
2023-12-04 17:00:00+00:00,7.422,1,000001.000001.00000000000000,19956
2023-12-04 18:00:00+00:00,10.878,1,000001.000001.00000000000000,19956
2023-12-04 19:00:00+00:00,7.0,1,000001.000001.00000000000000,19956
2023-12-04 20:00:00+00:00,4.383,1,000001.000001.00000000000000,19956
2023-12-04 21:00:00+00:00,3.163,1,000001.000001.00000000000000,19956
2023-12-04 22:00:00+00:00,2.705,1,000001.000001.00000000000000,19956
2023-12-04 23:00:00+00:00,6.367,1,000001.000001.00000000000000,19956
