time,value,flags,version,timeseries_id
2023-12-05 00:00:00+00:00,5.615,1,000001.000001.00000000000000,19956
2023-12-05 01:00:00+00:00,1.99,1,000001.000001.00000000000000,19956
2023-12-05 02:00:00+00:00,1.43,1,000001.000001.00000000000000,19956
2023-12-05 03:00:00+00:00,3.662,1,000001.000001.00000000000000,19956
2023-12-05 04:00:00+00:00,2.448,1,000001.000001.00000000000000,19956
2023-12-05 05:00:00+00:00,1.393,1,000001.000001.00000000000000,19956
2023-12-05 06:00:00+00:00,0.587,1,000001.000001.00000000000000,19956
2023-12-05 07:00:00+00:00,-0.245,22,000001.000001.00000000000000,19956
2023-12-05 08:00:00+00:00,0.398,1,000001.000001.00000000000000,19956
2023-12-05 09:00:00+00:00,0.29,1,000001.000001.00000000000000,19956
2023-12-05 10:00:00+00:00,3.653,1,000001.000001.00000000000000,19956
2023-12-05 11:00:00+00:00,5.031,1,000001.000001.00000000000000,19956
2023-12-05 12:00:00+00:00,3.952,1,000001.000001.00000000000000,19956
2023-12-05 13:00:00+00:00,2.151,1,000001.000001.00000000000000,19956
2023-12-05 14:00:00+00:00,-2.399,22,000001.000001.00000000000000,19956
2023-12-05 15:00:00+00:00,0.449,1,000001.000001.00000000000000,19956
2023-12-05 16:00:00+00:00,1.673,1,000001.000001.00000000000000,19956
2023-12-05 17:00:00+00:00,1.747,1,000001.000001.00000000000000,19956
2023-12-05 18:00:00+00:00,4.619,1,000001.000001.00000000000000,19956
2023-12-05 19:00:00+00:00,1.546,1,000001.000001.00000000000000,19956
2023-12-05 20:00:00+00:00,0.676,1,000001.000001.00000000000000,19956
2023-12-05 21:00:00+00:00,6.867,1,000001.000001.00000000000000,19956
2023-12-05 22:00:00+00:00,6.459,1,000001.000001.00000000000000,19956
2023-12-05 23:00:00+00:00,5.268,1,000001.000001.00000000000000,19956
